	city name	lat	lon	population (others)	population (others) source year	population (others) source	area [km2] (others)	area [km2] (others) source year	area [km2] (others) source	GDP-PPP [$BN] (others)	GDP-PPP year (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source
70	Shantou	23.35	116.666666667	5389328		(pref.-level city), from wikipedia	2248.39		(city), from wikipedia	0.0006	2014		[1]	18	3376.47720878	[19]
71	Zhanjiang	21.2	110.4	1611868		wikipedia, urban values	1360		(urban), from wikipedia		2008			12	8207.93433653	[19]
72	Nanning	22.8166666667	108.316666667	4037000		wikipedia, urban values			(urban), from wikipedia	0.00101732512932	2014		[1]	20	5819.02822229	[19]
73	Liuzhou	24.3166666667	109.383333333	1436599		wikipedia, urban values			(urban), from wikipedia		2008			6	4376.36761488	[19]
74	Haikou	20.0427777778	110.341666667	2046189	2010	(pref.-level city), from wikipedia	2237		(city), from wikipedia		2008			9	4398.82697947	[19]
75	Chongqing	29.5583333333	106.566666667	8165500		wikipedia, urban values	472.8		(urban), from wikipedia	0.00088	2014		[1]	88.6	5645.82935067	[3], [19]
76	Chengdou	30.6586111111	104.064722222	10152632		wikipedia, urban values	3679.9		(urban), from wikipedia	0.00108	2014		[1]	57.8	7528.98267552	[3], [19]
77	Guiyang	26.65	106.633333333	3483100		wikipedia, urban values	2403.4		(urban), from wikipedia		2008			13	4280.54000659	[19]
78	Kunming	25.0666666667	102.683333333	4575000		wikipedia, urban values	4615		(urban), from wikipedia	0.000610821812854	2014		[1]	21	5923.83638928	[19]
79	Xi'an, Shaanxi	34.2666666667	108.9	8705600	2015	(sub-provincial city), from wikipedia	9983		(city), from wikipedia	0	2015		[21]	40.6	6246.15384615	
80	Lanzhou	36.0333333333	103.8	2177130		wikipedia, urban values	1088		(urban), from wikipedia		2008			14	5327.24505327	[19]
81	Xining	36.6333333333	101.766666667	1198304		wikipedia, urban values	343		(urban), from wikipedia		2008			7	5843.07178631	[19]
82	Yinchuan	38.4666666667	106.266666667	1290170		wikipedia, urban values	2045		(urban), from wikipedia		2008			9	6976.74418605	[19]
83	Ürümqi (Wulumqi)	43.825	87.6	3519600	2017	(pref.-level city), from wikipedia	14577		(city), from wikipedia		2008			20	6602.83922086	[19]
