	city name	population (others)	area [km2] (others)	Household_size	Year_Household size	Household_source	population (others) source	population (others) source year	area [km2] (others) source	area [km2] (others) source year	GDP-PPP [$BN] (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	GDP-PPP year (others)	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source	nGDP [$BN] (others) source year
4	Nantes	612782	537.7	2.1	2012	http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en	Wikipedia	2013	Wikipedia	2013	32.014	36011.0	[1]	2014.0	32.9961	37081.602654007984	[24]	2012.0
14	Nelson Mandela	1152115	1959.0	3.8	2007	http://www.statssa.gov.za/publications/Report-03-01-32/Report-03-01-322007.pdf	Wikipedia	2011	Wikipedia	2011								
8	Osaka	8864228	1899.28				Wikipedia	2012	Wikipedia	2012								
2	Sao Paulo	12106920	1521.11				Wikipedia	2017	Wikipedia	2017	430.51	20650.0	[1]	2014.0	437.0	22200.7722007722	[3], [19]	2010.0
9	Sapporo	1947097	1121.12	2.08	2018	http://www.city.yokohama.lg.jp/ex/stat/jinko/city/new-e.html	Wikipedia	2016	Wikipedia	2016	80.464	32446.0	[1]	2014.0	67.19166	30484.214748024857	[24]	2012.0
10	Singapore	5607300	719.9	3.35	2016	https://data.gov.sg/dataset/resident-households-by-household-size-annual?resource_id=b9a2acc8-8ed7-4b98-a1af-0c7ff1a7f0e4	Wikipedia	2015	Wikipedia	2015	365.928	66864.0	[1]	2014.0	222.7	43786.86590640975	[3], [19]	2010.0
18	Umeå	84761	32.2	2.09	2017	manual calculation was performed based on http://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101S/HushallT03/?rxid=5b1086fd-d703-4c03-8791-3c76c740804f	Wikipedia	2016	Wikipedia	2016								
19	Uppsala	149245	48.77	2.18	2017	manual calculation was performed based on http://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101S/HushallT03/?rxid=5b1086fd-d703-4c03-8791-3c76c740804f	Wikipedia	2015	Wikipedia	2015								
20	Växjö	66275	30.28	2.21	2017	manual calculation was performed based on http://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__BE__BE0101__BE0101S/HushallT03/?rxid=5b1086fd-d703-4c03-8791-3c76c740804f	Wikipedia	2017	Wikipedia	2017								
15	eThekwini	3442361	2291.0	4.1	2007	http://www.statssa.gov.za/publications/Report-03-01-35/Report-03-01-352007.pdf	Wikipedia	2011	Wikipedia	2011								
