	city name	full city name (GEA)	full city name (UITP)	full city name (WB)	definition  (WB)	study_year (WB)	country	population (GEA)	population (UITP)	population (WB)	population_year (WB)	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	area_size (GEA)	area_size (WB)	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)
82	Helsinki	Helsinki	Helsinki				Finland	564682.0	891056.0								715.49		789.2241680526632	3300.0		21110.67695893038		92.61386054451886		EFHF	17.0	3675.0	1.39	1.57	-999.0	1.88	2004.0	http://www.urbanaudit.org	-999	82.905	1.0	-999	39307.924569006886	28323.35	
83	Herefordshire, County of	Herefordshire, County of					United Kingdom	177900.0									2180.0		81.60550458715596			3810.1993735308715		107.10275755227448		EGGD	1.0	2229.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	26616.68714331033		
84	Hertfordshire	Hertfordshire					United Kingdom	1058700.0									1643.0		644.3700547778454			26118.85481779982		96.90680920770677		EGGW	7.0	2240.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	40483.236976647524		
85	Hohhot	Hohhot					China	2158100.0									17224.0		125.29609846725499			16443.889749757596		180.4745945936209		ZBHH	176.0	3989.0	1.01	0.99	-999.0	3.15	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For "" Inner Mongolia"""	42.522	0.0	Mountains	12089.226870117634		
86	Hong Kong	Hong Kong	Hong Kong				China	7057418.000000001	6311000.0								1104.0		6392.588768115943	32036.0		212403.3216282158		68.54388843058467		VHHH	1117.0	97.0	1.01	0.99	63.94	2.99	2012.0	http://www.censtatd.gov.hk/hkstat/sub/bbs.jsp	Calculation: pop/household (7136.3/2382)	100.0	1.0	-999	34573.55083686414	22968.45	
87	Inverclyde, East Renfrewshire and Renfrewshire	Inverclyde, East Renfrewshire and Renfrewshire					United Kingdom	340600.0									595.0		572.436974789916			13963.238650594116		88.99581169694041		EGPF	0.0	2418.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	25755.152699388393		
88	Iskandar	Iskandar (Johore Baru metro area)					Malaysia	1353202.0									185.0		7314.605405405406			99489.38970465848		101.64924379360953		WRBI	1280.0	0.0	0.53	0.53	-999.0	4.17	2010.0	http://www.statistics.gov.my/portal/images/stories/files/LatestReleases/banci/jadual3.pdf	(slightly inland, but very close to coast)	67.575	0.0	-999	16042.108811033188		
89	Istanbul	Istanbul					Turkey	12600000.0											2725.0					36.15		LTBA	278.0	1158.0	1.63	1.87	36.14	3.85	2000.0	http://www.turkstat.gov.tr/VeriBilgi.do?alt_id=39	-999	66.841	1.0	-999	13698.170192246094		
90	Jilin	Jilin					China	4330000.0											160.0					87.49164662355658		ZYCC	158.0	4305.0	1.01	0.99	-999.0	3.29	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	-999	42.522	0.0	-999	8703.803444162086		
91	Jinan, Shandong	Jinan, Shandong					China	6033500.0									8177.0		737.8622966858261			66722.50120502026		80.13186154079561		ZSTN	434.0	1843.0	1.01	0.99	-999.0	3.12	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Shandong"""	42.522	0.0	Mountains	10497.501550650853		
