country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,women_mps_pct,index,happiest_country,region,employment_rate,population_scaled,area_scaled,gini_index_scaled,happy_planet_index_scaled,hdi_index_scaled,world_happiness_score_scaled,sustainable_economic_development_assessment_scaled,gdp_billions_scaled,gdp_per_capita_scaled,gdp_growth_annual_pct_scaled,health_expenditure_pct_gdp_scaled,health_expenditure_per_person_scaled,education_expenditure_pct_gdp_scaled,education_expenditure_per_person_scaled,school_years_scaled,unemployment_pct_scaled,government_spending_score_scaled,government_expenditure_pct_gdp_scaled,political_rights_score_scaled,civil_liberties_score_scaled,political_stability_scaled,government_effectiveness_scaled,regulatory_quality_scaled,rule_of_law_scaled,control_of_corruption_scaled,judicial_effectiveness_score_scaled,government_integrity_score_scaled,property_rights_score_scaled,overall_economic_freedom_score_scaled,women_mps_pct_scaled,index_scaled,employment_rate_scaled
Bangladesh,165e6,130170,32.1,38.4,0.608,4.309771061,35.3,628.4,3891,6.4,2.63947252,88,NA,NA,10,4.1,94.2,13.9,4,4,-1.25,-0.74,-0.81,-0.67,-0.83,32.6,21.2,32.4,55.1,20.3,118,FALSE,NA,95.9,0.11885689543191166,0.007928840588258497,NA,NA,0.4112627986348123,0.21675782598314106,0.2774566473988439,0.02936783066993602,0.03133980319493764,0.8109452736318408,0,0.005892255892255892,NA,NA,0.23076923076923078,0.1484375,0.9776595744680852,0.06290672451193059,0.5,0.5,0.2882205513784461,0.25879396984924624,0.20380434782608695,0.2819148936170213,0.16348773841961853,0.19685039370078744,0.08364083640836407,0.18012422360248448,0.32464929859719444,0.3865168539325843,0.8731343283582089,0.8515625000000001
Armenia,3e6,28203,31.5,25.7,0.755,4.287736416,51.7,25.8,8621,3,10.14083813,883,2.247240067,89.7707766002676,13,16.8,80,25.8,5,4,-0.71,-0.1,0.28,-0.16,-0.56,47.4,40.5,55.3,68.7,18.1,119,FALSE,NA,83.2,0.0019484736956051094,0.0017027706307450267,NA,NA,0.6621160409556315,0.2117963315358796,0.5144508670520233,0.0010616010446905858,0.07710617217056438,0.6417910447761194,0.5283895536800671,0.0895412457912458,NA,NA,0.46153846153846156,0.64453125,0.8265957446808511,0.3210412147505423,0.6666666666666666,0.5,0.42355889724310775,0.41959798994974873,0.5,0.41755319148936176,0.23705722070844684,0.3910761154855643,0.32103321033210336,0.46459627329192543,0.5971943887775553,0.3370786516853933,0.8805970149253731,0.3554687500000002
Mozambique,3e7,786380,45.6,23.7,0.437,4.279863358,26.7,34.9,1215,6.3,5.35312059,64,NA,NA,10,24.4,60.7,36.2,4,4,-0.98,-0.89,-0.73,-1.01,-0.86,36.3,28.2,35.4,46.3,39.6,120,FALSE,NA,75.6,0.021433210651656202,0.04799679754315483,NA,NA,0.11945392491467578,0.2100235717047151,0.1531791907514451,0.0014890598724199807,0.005447455757564029,0.8059701492537312,0.19114696804547235,0.003367003367003367,NA,NA,0.23076923076923078,0.94140625,0.6212765957446809,0.5466377440347072,0.5,0.5,0.3558897243107769,0.22110552763819097,0.22554347826086957,0.19148936170212766,0.1553133514986376,0.24540682414698162,0.16974169741697417,0.21739130434782608,0.14829659318637273,0.8202247191011236,0.8880597014925373,0.05859374999999998
Ethiopia,105e6,1e6,33,26.7,0.463,4.180315495,32.3,177.5,1946,10.2,4.04684368,66,NA,NA,8,5.7,90.6,17.7,7,6,-1.69,-0.7,-1.01,-0.45,-0.56,37.6,37.7,31.1,52.8,38.8,121,FALSE,NA,94.3,0.07555747997402035,0.06104036128754299,NA,NA,0.16382252559726967,0.18760858977461145,0.23410404624277453,0.008187480623432261,0.012520440053797254,1,0.09913397876558085,0.0035774410774410776,NA,NA,0.07692307692307693,0.21093750000000003,0.9393617021276596,0.14533622559652926,1,0.8333333333333334,0.17794486215538846,0.26884422110552764,0.14945652173913043,0.34042553191489366,0.23705722070844684,0.2624671916010499,0.28659286592865935,0.16397515527950315,0.2785571142284569,0.8022471910112359,0.8955223880597015,0.7890624999999999
Tunisia,12e6,155360,40,26.2,0.735,4.124342918,49.3,130.6,11634,0.8,6.74049066,774,NA,NA,15,14.8,75.5,28.6,2,3,-1.05,-0.07,-0.41,0.07,-0.11,41.7,36.8,49.4,58.9,31.3,123,FALSE,NA,85.2,0.008443386014288807,0.009466933326396957,NA,NA,0.6279863481228669,0.1750053629023646,0.47976878612716767,0.005984423588211531,0.10625925245038752,0.5323383084577115,0.2888720877355635,0.07807239057239057,NA,NA,0.6153846153846154,0.56640625,0.7787234042553192,0.3817787418655098,0.16666666666666666,0.3333333333333333,0.33834586466165406,0.4271356783919598,0.3125,0.4787234042553192,0.35967302452316074,0.3162729658792652,0.27552275522755226,0.391304347826087,0.40080160320641284,0.6337078651685393,0.9104477611940298,0.43359375000000017
Madagascar,26e6,581540,41,NA,0.519,4.078620434,31.1,37.5,1505,3,5.23778965,77,NA,NA,11,2.1,92.9,15.4,3,4,-0.33,-1.14,-0.69,-0.86,-1.05,21.4,17.8,33.2,56.8,19.2,125,FALSE,NA,97.9,0.018546582954463448,0.03548933757966606,NA,NA,0.25938566552901027,0.16471012780867456,0.21676300578034685,0.0016111909660569506,0.008253427639790617,0.6417910447761194,0.1830231587178928,0.004734848484848485,NA,NA,0.3076923076923077,0.07031250000000001,0.9638297872340427,0.09544468546637745,0.3333333333333333,0.5,0.5187969924812029,0.15829145728643218,0.2364130434782609,0.23138297872340427,0.10354223433242504,0.04986876640419945,0.041820418204182044,0.1900621118012423,0.35871743486973945,0.36179775280898874,0.9253731343283582,0.9296875000000001
India,1339e6,2973193,35.2,29.2,0.64,4.046111107,40,8662.4,6616,7.3,3.88825688,238,NA,NA,12,3.5,77.7,27.3,2,3,-0.83,0.09,-0.25,0,-0.24,54.3,47.2,55.4,54.5,11.8,126,FALSE,NA,96.5,0.9660821245579851,0.1815228473631937,NA,NA,0.46587030716723554,0.15739007135236624,0.34537572254335264,0.4067529100081734,0.05770626312275643,0.8557213930348258,0.08796326494784037,0.021675084175084174,NA,NA,0.38461538461538464,0.12500000000000003,0.8021276595744682,0.35357917570498915,0.16666666666666666,0.3333333333333333,0.3934837092731829,0.46733668341708545,0.35597826086956524,0.4601063829787234,0.3242506811989101,0.4816272965879265,0.4034440344403445,0.4658385093167702,0.31262525050100204,0.1955056179775281,0.9328358208955224,0.8749999999999999
Uganda,43e6,197100,39.5,19.4,0.516,4.000516891,30.9,85,2068,5,7.30193117,139,2.25067997,15.817668930653337,10,2.3,90.9,17.4,6,4,-0.56,-0.58,-0.22,-0.3,-1.04,40.3,28.3,43.5,62,34.3,127,FALSE,NA,97.7,0.030814750667532656,0.012015563373633928,NA,NA,0.2542662116040956,0.1471237180931583,0.2138728323699422,0.003842432099809288,0.013700883397354646,0.7412935323383084,0.32841946029681224,0.01125841750841751,NA,NA,0.23076923076923078,0.078125,0.9425531914893618,0.1388286334056399,0.8333333333333334,0.5,0.4611528822055137,0.2989949748743718,0.3641304347826087,0.3803191489361702,0.10626702997275202,0.2979002624671916,0.1709717097170972,0.31801242236024846,0.46292585170340683,0.7011235955056179,0.9402985074626866,0.921875
Egypt,98e6,995450,31.8,23.8,0.696,3.929344177,43.1,1132.4,12554,4.2,7.30822225,495,NA,NA,13,12,65.1,34.1,6,6,-1.42,-0.62,-0.86,-0.53,-0.54,52.5,32.2,32.7,53.4,14.9,129,FALSE,NA,88,0.07050588150393303,0.060762539852111074,NA,NA,0.561433447098976,0.13109790849615627,0.39017341040462433,0.05304247343648714,0.11516095635262358,0.7014925373134329,0.32886259840341703,0.04871632996632996,NA,NA,0.46153846153846156,0.45703125,0.6680851063829787,0.5010845986984815,0.8333333333333334,0.8333333333333334,0.24561403508771928,0.2889447236180904,0.19021739130434784,0.3191489361702128,0.2425068119891008,0.4580052493438321,0.21894218942189428,0.1838509316770187,0.2905811623246493,0.2651685393258427,0.9552238805970149,0.54296875
Zimbabwe,17e6,386847,43.2,22.1,0.535,3.63830018,29.7,28.6,1970,1.5,10.31719793,182,7.53068018,77.64919079194497,10,5.1,72,30.6,6,5,-0.77,-1.19,-1.56,-1.38,-1.27,33,18.9,27.6,44,32.6,131,FALSE,NA,94.9,0.01205167063577975,0.023601449947018537,NA,NA,0.28668941979522194,0.06556414677572474,0.19653179190751446,0.001193126837838092,0.012752658416464282,0.5671641791044776,0.5408121818859073,0.015782828282828284,NA,NA,0.23076923076923078,0.1875,0.7414893617021276,0.42516268980477223,0.8333333333333334,0.6666666666666666,0.40852130325814534,0.14572864321608042,0,0.09308510638297875,0.043596730245231585,0.2020997375328084,0.055350553505535034,0.12049689440993792,0.1022044088176353,0.6629213483146067,0.9701492537313433,0.8125000000000002
